data	model	atk_method	atk_epsilon	attr_method	seed	test_init	adv_init	k_over	test_over	adv_over	k_adv	test_adv	adv_adv
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	0	95.3000	12.5000	0.7000	92.9000	23.4000	0.8600	87.6000	25.4000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	1	95.7000	11.4000	0.7700	92.6000	24.4000	0.8500	88.9000	26.3000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	2	95.4000	12.1000	0.7400	93.4000	23.6000	0.9300	80.6000	27.3000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	4	95.2000	11.9000	0.7400	92.9000	23.7000	0.9100	81.8000	26.5000
CIFAR10	ResNet50	LinfPGD	0.01	LayerActivation	0	95.3000	12.5000	0.3700	92.5000	19.0000	0.6300	64.1000	28.5000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradientXActivation	0	95.3000	12.5000	0.2700	94.1000	18.4000	0.6500	65.4000	27.9000
CIFAR10	ResNet50	LinfPGD	0.01	LayerDeepLift	0	95.3000	12.5000	0.2200	94.3000	17.6000	0.5700	66.0000	26.9000
CIFAR10	ResNet50	LinfPGD	0.01	LayerConductance	0	95.3000	12.5000	0.2100	94.4000	17.9000	0.6200	66.0000	28.7000
CIFAR10	ResNet50	LinfPGD	0.01	InternalInfluence	95.3000	12.5000	0.0800	94.6000	17.4000	0.6000	69.8000	31.3000
CIFAR10	ResNet50	LinfPGD	0.01	LayerGradCam	3	96.3000	10.4000	0.7400	93.2000	22.9000	0.8700	87.1000	26.0000
CIFAR10	ResNet50	LinfPGD	0.01	LayerIntegratedGradients	0	95.3000	12.5000	0.2200	94.4000	18.1000	0.6200	61.3000	29.2000
SVHN	ResNet50	LinfPGD	0.01	LayerGradCam	0	96.2279	59.8537	0.3200	95.7275	64.0878	0.5800	95.2656	64.3187
